"rec","rep","D","D_ends","D_theory","R","R_theory","H","site"
"rr201611_018_Resort_dem_low",8,2.25296647078891,2.26914546319606,2.26914546319606,2.41495535674019,1.42796430571788,1.13439846038818,"Resort"
"rr201611_018_Resort_dem_low",9,2.2046004783119,2.20733662680661,2.20733662680661,2.45685505102179,1.31531370693299,1.17800903320312,"Resort"
"rr201611_018_Resort_dem_low",10,2.1182288147473,2.13490406853067,2.13490406853067,2.62425831765401,1.38290534049088,1.69275164604187,"Resort"
"rr201611_018_Resort_dem_low",11,2.14156371482815,2.1600751339946,2.1600751339946,2.96829804111685,1.48415946609194,1.78111457824707,"Resort"
"rr201611_018_Resort_dem_low",12,2.28386603090047,2.28533871359881,2.28533871359881,3.21613894402627,1.63907895005354,1.36637806892395,"Resort"
"rr201611_018_Resort_dem_low",13,2.32590390699588,2.33476768377595,2.33476768377595,5.70632786220836,2.03711612730945,1.57330822944641,"Resort"
"rr201611_018_Resort_dem_low",14,2.29292235438202,2.28648991268997,2.28648991268997,2.75006837775818,1.5419547965219,1.22998595237732,"Resort"
"rr201611_018_Resort_dem_low",15,2.20581370317691,2.2224218773396,2.2224218773396,2.42226570186696,1.49549848186378,1.45501184463501,"Resort"
"rr201611_018_Resort_dem_low",16,2.15353384570932,2.162480907825,2.162480907825,2.64575724066206,1.46057868678631,1.71457862854004,"Resort"
"rr201611_023_NorthReef03_dem_low",1,2.01583666052149,2.0519334527413,2.0519334527413,1.36338263903844,1.03859788526022,0.662712097167969,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",2,2.27629606964953,2.27518605493557,2.27518605493557,1.71621139332356,1.21382819424558,0.749813318252563,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",3,2.26055937243871,2.26948708325418,2.26948708325418,1.5332452432324,1.15654661248282,0.645844221115112,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",4,2.17944579527135,2.21530177888297,2.21530177888297,1.46272837615939,1.08200603040189,0.554175615310669,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",5,2.21016557366165,2.21400685451011,2.21400685451011,1.39488894809459,1.07807124358235,0.542635679244995,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",6,2.27899869571379,2.27595934412679,2.27595934412679,1.82713891078968,1.20586000176343,0.73241925239563,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",7,2.1538157815881,2.16750426387553,2.16750426387553,1.42910759109566,1.07171667769582,0.610100269317627,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",8,2.24209654802406,2.25162256099548,2.25162256099548,1.59094893803276,1.13184644558597,0.626942157745361,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",9,2.2935452246639,2.31538288178188,2.31538288178188,1.5791484822815,1.16959390753584,0.575096607208252,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",10,2.26782661949409,2.26804128987204,2.26804128987204,1.43731224790421,1.09298886425094,0.49283504486084,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",11,2.15103079597367,2.15899118587114,2.15899118587114,1.1276804695583,1.0246900520013,0.364485025405884,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",12,2.18533584410596,2.19502359312367,2.19502359312367,1.12488108536978,1.01991098263729,0.28854775428772,"Mermaid Cove"
"rr201611_023_NorthReef03_dem_low",13,2.00753667889833,2.05332404285579,2.05332404285579,1.63249080241285,1.06224696132817,0.842391014099121,"Mermaid Cove"
